iter	RMSE
0	2.869076248
1	2.589463612
2	2.449269255
3	2.375129655
4	2.327069793
5	2.298740373
6	2.215628675
7	2.151003658
8	2.123577884
9	2.10563459
10	2.083384597
11	2.067352167
12	2.058682786
13	2.044548727
14	2.023582016
15	2.011522383
16	1.998384333
17	1.985730042
18	1.975433502
19	1.959488593
20	1.957117065
21	1.95421816
22	1.944702624
23	1.935272646
24	1.92766312
25	1.923260039
26	1.91586704
27	1.909639679
28	1.908267366
29	1.905557666
30	1.895024001
31	1.889842321
32	1.879693302
33	1.876220174
34	1.872700601
35	1.869194865
36	1.865654415
37	1.860252799
38	1.825856953
39	1.823029373
40	1.820346072
41	1.818396394
42	1.815834938
43	1.800400745
44	1.796443807
45	1.795312619
46	1.791041792
47	1.789410647
48	1.787807794
49	1.786709319
50	1.783604022
51	1.780788967
52	1.779708605
53	1.776153878
54	1.774643889
55	1.77103488
56	1.767236845
57	1.766159255
58	1.763598999
59	1.761502472
60	1.750181261
61	1.748729295
62	1.745787893
63	1.742487853
64	1.740696287
65	1.730502563
66	1.723688017
67	1.721032505
68	1.710896152
69	1.709289025
70	1.70627943
71	1.699112007
72	1.697643205
73	1.696175213
74	1.694999954
75	1.683693854
76	1.682207155
77	1.679689857
78	1.679195278
79	1.677484263
80	1.674338834
81	1.669958107
82	1.669140607
83	1.666699976
84	1.664471134
85	1.663383542
86	1.662932428
87	1.66166729
88	1.660480469
89	1.659137837
90	1.657333653
91	1.656547035
92	1.656134708
93	1.655395127
94	1.654310745
95	1.653621973
96	1.652880455
97	1.652801688
98	1.652350455
99	1.650314012
100	1.649404706
101	1.649262777
102	1.647539699
103	1.645225216
104	1.642848622
105	1.636959789
106	1.636834949
107	1.635545829
108	1.634945091
109	1.634534361
110	1.630054063
111	1.629416908
112	1.627109497
113	1.626183187
114	1.623498077
115	1.623027965
116	1.62257933
117	1.62076183
118	1.618494554
119	1.616763695
120	1.616325934
121	1.616049496
122	1.615146235
123	1.614017171
124	1.613636692
125	1.612534854
126	1.612177835
127	1.611491234
128	1.610520991
129	1.609750306
130	1.609614565
131	1.606708913
132	1.60626789
133	1.605201497
134	1.603414066
135	1.60263628
136	1.601619102
137	1.599987648
138	1.598937777
139	1.596440978
140	1.595214768
141	1.594362186
142	1.594112359
143	1.593534996
144	1.591808122
145	1.591453221
146	1.588362905
147	1.587886713
148	1.587827555
149	1.58391902
150	1.582631931
151	1.581192365
152	1.576404129
153	1.575781471
154	1.57538954
155	1.574417264
156	1.57384707
157	1.573483711
158	1.572661413
159	1.572127791
160	1.571156186
161	1.569926103
162	1.569406347
163	1.568839623
164	1.568750129
165	1.568218408
166	1.567295607
167	1.566567932
168	1.566414826
169	1.56599064
170	1.56517153
171	1.565031928
172	1.564101962
173	1.563417861
174	1.56151515
175	1.5611885
176	1.560621954
177	1.560077069
178	1.558772665
179	1.558572823
180	1.558283588
181	1.557983625
182	1.554635782
183	1.554450697
184	1.553851018
185	1.552945041
186	1.551719203
187	1.551564773
188	1.550998318
189	1.54977411
190	1.548223885
191	1.547083214
192	1.546751371
193	1.544453578
194	1.544353329
195	1.543253588
196	1.541809967
197	1.539491772
198	1.539095362
199	1.537555689
200	1.536937749
201	1.535754601
202	1.535169348
203	1.534696392
204	1.534194962
205	1.533269326
206	1.532828717
207	1.531141488
208	1.531026984
209	1.530415001
210	1.530329302
211	1.529101995
212	1.528864596
213	1.528670863
214	1.527455559
215	1.527242771
216	1.526850148
217	1.526250079
218	1.525740708
219	1.52524774
220	1.525174356
221	1.52509424
222	1.524214456
223	1.523181626
224	1.52263365
225	1.521291912
226	1.521114177
227	1.520992531
228	1.520258571
229	1.519371485
230	1.518756772
231	1.517698952
232	1.517457069
233	1.517242914
234	1.517027665
235	1.516604168
236	1.516320464
237	1.515899632
238	1.515686512
239	1.515477023
240	1.515354991
241	1.514937107
242	1.514740533
243	1.514452664
244	1.513613334
245	1.513242169
246	1.511586212
247	1.510673937
248	1.508938053
249	1.506784035
250	1.506489617
251	1.505639503
252	1.505398549
253	1.504885845
254	1.504437419
255	1.503512172
256	1.503025099
257	1.502540816
258	1.502043055
259	1.50132356
260	1.501297311
261	1.500761316
262	1.500221309
263	1.500006238
264	1.499345988
265	1.498947529
266	1.498869163
267	1.498468381
268	1.498204758
269	1.496894517
270	1.49664078
271	1.495821795
272	1.495345627
273	1.495110168
274	1.495018353
275	1.494680168
276	1.494613951
277	1.494188887
278	1.494121501
279	1.493907124
280	1.49203842
281	1.491558734
282	1.491098811
283	1.490615399
284	1.48989992
285	1.489742121
286	1.48919762
287	1.488845057
288	1.488420285
289	1.487990086
