iter	Passed	Remaining
0	6682	6675761
1	12002	5989414
2	17221	5723292
3	21754	5416884
4	26713	5316027
5	35038	5804644
6	40708	5774834
7	47745	5920458
8	54078	5954630
9	58933	5834380
10	64341	5784896
11	68338	5626547
12	72549	5508173
13	77327	5446086
14	83125	5458598
15	90849	5587245
16	97121	5615916
17	102493	5591600
18	107155	5532603
19	111775	5476991
20	119024	5548813
21	126514	5624154
22	133746	5681306
23	138669	5639245
24	142962	5575539
25	147992	5544023
26	152697	5502772
27	157385	5463524
28	161534	5408607
29	166419	5380895
30	171192	5351157
31	175740	5316157
32	183043	5363735
33	187749	5334289
34	192163	5298235
35	198294	5309877
36	204060	5311097
37	208965	5290136
38	215228	5303447
39	220048	5281175
40	225030	5263509
41	229447	5233592
42	233894	5205512
43	241469	5246477
44	249524	5295458
45	254057	5268932
46	259331	5258359
47	267905	5313459
48	273186	5302051
49	277784	5277911
50	282293	5252879
51	286826	5229062
52	298089	5326233
53	302926	5306827
54	307629	5285634
55	312357	5265461
56	317130	5246558
57	321747	5225616
58	327288	5219967
59	332048	5202091
60	336220	5175584
61	340852	5156770
62	346051	5146823
63	358995	5250302
64	363163	5223971
65	368694	5217582
66	372912	5192939
67	377495	5173902
68	381617	5149072
69	385861	5126449
70	390255	5106306
71	399475	5148798
72	405586	5150389
73	410883	5141594
74	416729	5139663
75	421327	5122457
76	425628	5102018
77	430276	5086089
78	433653	5055626
79	438157	5038814
80	446854	5069867
81	451229	5051566
82	455661	5034236
83	458619	5001139
84	463697	4991571
85	468538	4979584
86	472912	4962864
87	477348	4947064
88	482528	4939143
89	486869	4922794
90	491304	4907642
91	495528	4890647
92	500119	4877505
93	504975	4867102
94	509351	4852244
95	514202	4842073
96	518922	4830794
97	523471	4818077
98	527551	4801250
99	533200	4798801
100	537745	4786467
101	542970	4780269
102	550278	4792231
103	557835	4805967
104	563781	4805563
105	570697	4813237
106	575108	4799740
107	579304	4784623
108	588058	4806976
109	592962	4797607
110	597232	4783238
111	601916	4772339
112	606566	4761279
113	610881	4747727
114	619090	4764307
115	623446	4751095
116	627911	4738856
117	634265	4740862
118	638948	4730368
119	644123	4723571
120	659140	4788304
121	664167	4779827
122	668956	4769716
123	673554	4758338
124	678169	4747183
125	682252	4732448
126	689895	4742353
127	698067	4755585
128	702959	4746339
129	707476	4734653
130	713191	4731015
131	717615	4718868
132	721794	4705230
133	726686	4696343
134	731406	4686416
135	736005	4675797
136	740326	4663519
137	747683	4670313
138	751382	4654244
139	755794	4642736
